Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2019-05-21	39.551998138427734	41.47999954223633	39.20800018310547	41.01599884033203	90019500	0	0.0
2019-05-22	39.81999969482422	40.78799819946289	38.35599899291992	38.54600143432617	93426000	0	0.0
2019-05-23	38.86800003051758	39.89400100708008	37.24399948120117	39.097999572753906	132735500	0	0.0
2019-05-24	39.965999603271484	39.99599838256836	37.75	38.125999450683594	70683000	0	0.0
2019-05-28	38.2400016784668	39.0	37.56999969482422	37.7400016784668	51564500	0	0.0
2019-05-29	37.41999816894531	38.47800064086914	37.007999420166016	37.97200012207031	59843000	0	0.0
2019-05-30	37.75	38.45199966430664	37.40399932861328	37.64400100708008	39632500	0	0.0
2019-05-31	37.02000045776367	37.98400115966797	36.81999969482422	37.03200149536133	52033500	0	0.0
2019-06-03	37.10200119018555	37.33599853515625	35.39799880981445	35.79399871826172	65322000	0	0.0
2019-06-04	36.220001220703125	38.79600143432617	35.922000885009766	38.720001220703125	69037500	0	0.0
2019-06-05	39.736000061035156	40.25600051879883	38.369998931884766	39.31800079345703	67554000	0	0.0
2019-06-06	40.88800048828125	42.20000076293945	40.36000061035156	41.189998626708984	101211000	0	0.0
2019-06-07	41.0	42.167999267578125	40.70000076293945	40.900001525878906	80017500	0	0.0
2019-06-10	42.04999923706055	43.38800048828125	41.801998138427734	42.57600021362305	52925000	0	0.0
2019-06-11	43.827999114990234	44.18000030517578	42.70000076293945	43.41999816894531	58267500	0	0.0
2019-06-12	44.59000015258789	44.67599868774414	41.79999923706055	41.85200119018555	75987500	0	0.0
2019-06-13	42.07600021362305	42.97999954223633	41.50199890136719	42.78200149536133	40841500	0	0.0
2019-06-14	42.25	43.33000183105469	42.08000183105469	42.98400115966797	37167000	0	0.0
2019-06-17	43.09600067138672	45.400001525878906	42.854000091552734	45.00600051879883	61584000	0	0.0
2019-06-18	45.74399948120117	46.948001861572266	44.512001037597656	44.948001861572266	63579000	0	0.0
2019-06-19	45.02199935913086	45.55400085449219	44.21200180053711	45.2859992980957	32875500	0	0.0
2019-06-20	44.599998474121094	45.380001068115234	43.27000045776367	43.92399978637695	59317500	0	0.0
2019-06-21	43.24399948120117	44.43600082397461	43.099998474121094	44.37200164794922	41010500	0	0.0
2019-06-24	44.64799880981445	45.172000885009766	44.20399856567383	44.72800064086914	28754000	0	0.0
2019-06-25	44.87799835205078	45.06800079345703	43.89799880981445	43.95199966430664	30910500	0	0.0
2019-06-26	44.0620002746582	45.44599914550781	43.619998931884766	43.854000091552734	42536000	0	0.0
2019-06-27	43.88999938964844	44.58000183105469	43.470001220703125	44.56800079345703	31698500	0	0.0
2019-06-28	44.198001861572266	45.034000396728516	44.15999984741211	44.69200134277344	34257000	0	0.0
2019-07-01	46.04199981689453	46.619998931884766	45.25600051879883	45.433998107910156	41067000	0	0.0
2019-07-02	45.77799987792969	45.83000183105469	44.444000244140625	44.90999984741211	46295000	0	0.0
2019-07-03	47.87799835205078	48.31399917602539	46.902000427246094	46.97999954223633	71005500	0	0.0
2019-07-05	46.91400146484375	47.09000015258789	46.15999984741211	46.619998931884766	35328500	0	0.0
2019-07-08	46.24800109863281	46.45000076293945	45.731998443603516	46.06800079345703	29402500	0	0.0
2019-07-09	45.79399871826172	46.20000076293945	45.45600128173828	46.012001037597656	30954000	0	0.0
2019-07-10	46.83000183105469	47.78799819946289	46.62799835205078	47.784000396728516	45728500	0	0.0
2019-07-11	47.62799835205078	48.29999923706055	47.15999984741211	47.720001220703125	37572000	0	0.0
2019-07-12	47.95000076293945	49.07600021362305	47.94200134277344	49.01599884033203	46002500	0	0.0
2019-07-15	49.599998474121094	50.88399887084961	48.97200012207031	50.70000076293945	55000500	0	0.0
2019-07-16	49.86000061035156	50.70600128173828	49.58599853515625	50.47600173950195	40745000	0	0.0
2019-07-17	51.13399887084961	51.6619987487793	50.66999816894531	50.97200012207031	48823500	0	0.0
2019-07-18	51.0099983215332	51.150001525878906	50.37799835205078	50.70800018310547	23793000	0	0.0
2019-07-19	51.13800048828125	51.992000579833984	50.92399978637695	51.63600158691406	35242000	0	0.0
2019-07-22	51.75	52.43000030517578	50.8380012512207	51.13600158691406	34212000	0	0.0
2019-07-23	51.34199905395508	52.09600067138672	50.900001525878906	52.034000396728516	25115500	0	0.0
2019-07-24	51.83399963378906	53.2140007019043	51.63199996948242	52.97600173950195	55364000	0	0.0
2019-07-25	46.70000076293945	46.900001525878906	45.11000061035156	45.763999938964844	112091500	0	0.0
2019-07-26	45.38399887084961	46.051998138427734	44.45000076293945	45.608001708984375	50138500	0	0.0
2019-07-29	45.417999267578125	47.1879997253418	45.20600128173828	47.15399932861328	46366500	0	0.0
2019-07-30	46.58000183105469	48.672000885009766	46.43600082397461	48.45199966430664	40545000	0	0.0
2019-07-31	48.599998474121094	49.33599853515625	47.33000183105469	48.321998596191406	45891000	0	0.0
2019-08-01	48.529998779296875	48.902000427246094	46.354000091552734	46.77000045776367	41297500	0	0.0
2019-08-02	46.27000045776367	47.25400161743164	45.84600067138672	46.86800003051758	30682500	0	0.0
2019-08-05	45.91999816894531	46.27399826049805	45.15599822998047	45.66400146484375	35141500	0	0.0
2019-08-06	46.375999450683594	46.5	45.150001525878906	46.150001525878906	27821000	0	0.0
2019-08-07	45.29999923706055	46.7140007019043	45.15999984741211	46.683998107910156	23882500	0	0.0
2019-08-08	46.88999938964844	47.959999084472656	46.529998779296875	47.65999984741211	26371500	0	0.0
2019-08-09	47.209999084472656	47.79199981689453	46.762001037597656	47.00199890136719	19491000	0	0.0
2019-08-12	46.597999572753906	47.15399932861328	45.75	45.801998138427734	23319500	0	0.0
2019-08-13	45.762001037597656	47.20000076293945	45.5099983215332	47.0	24240500	0	0.0
2019-08-14	46.242000579833984	46.29999923706055	43.3380012512207	43.92399978637695	47813000	0	0.0
2019-08-15	44.172000885009766	44.3120002746582	42.310001373291016	43.12799835205078	40798000	0	0.0
2019-08-16	43.332000732421875	44.448001861572266	43.20399856567383	43.987998962402344	25492500	0	0.0
2019-08-19	44.84199905395508	45.566001892089844	44.34000015258789	45.36600112915039	26548000	0	0.0
2019-08-20	45.52399826049805	45.81800079345703	44.90800094604492	45.172000885009766	20626000	0	0.0
2019-08-21	44.402000427246094	44.64400100708008	43.52000045776367	44.16600036621094	38971500	0	0.0
2019-08-22	44.560001373291016	45.08000183105469	43.64400100708008	44.43000030517578	32795000	0	0.0
2019-08-23	43.99399948120117	44.23400115966797	42.20000076293945	42.279998779296875	42693000	0	0.0
2019-08-26	42.720001220703125	43.00400161743164	42.30799865722656	43.0	25259500	0	0.0
2019-08-27	43.14799880981445	43.7599983215332	42.40599822998047	42.816001892089844	27081000	0	0.0
2019-08-28	42.737998962402344	43.45000076293945	42.46200180053711	43.11800003051758	16127500	0	0.0
2019-08-29	43.79999923706055	44.68000030517578	43.599998474121094	44.34199905395508	25897500	0	0.0
2019-08-30	45.83000183105469	46.487998962402344	44.84199905395508	45.12200164794922	46603000	0	0.0
2019-09-03	44.816001892089844	45.790000915527344	44.63199996948242	45.00199890136719	26770500	0	0.0
2019-09-04	45.37799835205078	45.69200134277344	43.84199905395508	44.13600158691406	28805000	0	0.0
2019-09-05	44.5	45.959999084472656	44.16999816894531	45.91600036621094	36976500	0	0.0
2019-09-06	45.439998626708984	45.928001403808594	45.034000396728516	45.4900016784668	20947000	0	0.0
2019-09-09	46.0	46.75199890136719	45.84600067138672	46.358001708984375	24013500	0	0.0
2019-09-10	46.15999984741211	47.108001708984375	45.78799819946289	47.108001708984375	24418500	0	0.0
2019-09-11	47.47600173950195	49.63399887084961	47.20000076293945	49.41999816894531	50214000	0	0.0
2019-09-12	49.540000915527344	50.70000076293945	48.880001068115234	49.17399978637695	42906000	0	0.0
2019-09-13	49.391998291015625	49.689998626708984	48.9739990234375	49.040000915527344	26565500	0	0.0
2019-09-16	49.20000076293945	49.486000061035156	48.23400115966797	48.5620002746582	23640500	0	0.0
2019-09-17	48.49399948120117	49.119998931884766	48.07400131225586	48.95800018310547	19327000	0	0.0
2019-09-18	49.0	49.63399887084961	48.4739990234375	48.698001861572266	20851000	0	0.0
2019-09-19	49.20000076293945	49.5880012512207	48.96799850463867	49.31999969482422	23979000	0	0.0
2019-09-20	49.29800033569336	49.38999938964844	47.63199996948242	48.124000549316406	31765000	0	0.0
2019-09-23	48.0	49.0359992980957	47.84400177001953	48.24599838256836	21701000	0	0.0
